question,answer,intent
Hello,Hello! I am AgriBot, your AI Agriculture Assistant. Ask me about crops, soil, weather, schemes, irrigation, and more!,greeting
Hi,Hi there! How can I help you with your farming and agriculture needs today?,greeting
Hey,Hey! Welcome to AgriBot. I can help with crops, fertilizers, government schemes, weather-based farming, and more!,greeting
Who are you?,I am AgriBot — an AI-powered agriculture assistant built using NLP and KNN model. I can answer questions about farming practices, crops, soil, government schemes, weather, and much more.,bot_identity
What can you do?,I can help you with: crop recommendations based on soil and climate, government agricultural schemes, irrigation techniques, pest and disease control, fertilizers, organic farming, weather-based crop selection, soil health, and post-harvest management.,bot_identity
Thank you,You're welcome! Happy to help with all your agriculture needs. Feel free to ask anything else!,farewell
Goodbye,Goodbye! Wishing you a great harvest season. Come back anytime for agriculture guidance!,farewell

"What crops grow best in tropical climate?","Tropical climates are ideal for crops like rice, sugarcane, banana, coconut, rubber, jute, and various spices like cardamom and pepper. High humidity and rainfall support these water-intensive crops.",climate_crop
"Which crops are suitable for arid and dry regions?","In arid and semi-arid regions, drought-resistant crops like millets (bajra, jowar), sorghum, chickpea, cotton, groundnut, and certain varieties of wheat perform well. These crops require minimal water.",climate_crop
"What crops can be grown in cold temperate climate?","In cold temperate climates, crops like wheat, barley, oats, rye, potatoes, and vegetables like cabbage and carrots thrive. These regions support winter crops excellently.",climate_crop
"Which crops grow well in Mediterranean climate?","Mediterranean climates with dry summers and mild wet winters are perfect for olives, grapes (viticulture), citrus fruits, almonds, wheat, and sunflowers.",climate_crop
"What crops are suitable for heavy rainfall regions?","Heavy rainfall regions are ideal for paddy/rice, jute, tea, coffee, and tropical fruits like mango, jackfruit, and pineapple. Proper drainage management is critical.",climate_crop
"Which crops thrive in humid subtropical climate?","Humid subtropical regions support cotton, tobacco, soybeans, maize (corn), rice, sorghum, sweet potatoes, and peanuts very well.",climate_crop
"What crops grow in monsoon climate India?","India's monsoon climate (Kharif season: June-November) supports rice, maize, bajra, jowar, cotton, soybean, groundnut, and sugarcane. The Rabi season (November-April) supports wheat, mustard, barley, and gram.",climate_crop
"Which crops are best for black cotton soil?","Black cotton soil (Regur soil) is best suited for cotton, soybean, wheat, jowar (sorghum), sunflower, and citrus fruits. Its high water-retaining capacity benefits these crops.",soil_crop
"What crops grow in red laterite soil?","Red laterite soil is suitable for rice, ragi (finger millet), groundnut, cashew, coconut, and tea. These crops adapt well to its low nutrient content.",soil_crop
"Which crops are best for alluvial soil?","Alluvial soil is the most fertile and supports wheat, rice, maize, sugarcane, vegetables, legumes, and various oil seeds. It is found mainly in Indo-Gangetic plains.",soil_crop
"What crops suit sandy soil?","Sandy soil is best for crops like groundnut, potato, sweet potato, watermelon, carrot, and root vegetables. These crops need frequent but light irrigation.",soil_crop
"Which crops grow in saline soil?","Salt-tolerant crops like barley, sugarbeet, cotton, spinach, and certain varieties of wheat and rice can be grown in saline soil. Using gypsum helps reduce soil salinity.",soil_crop

"What is kharif crop?","Kharif crops are sown at the beginning of the south-west monsoon (June-July) and harvested in autumn (October). Major Kharif crops: Rice, Maize, Jowar, Bajra, Cotton, Groundnut, Soybean, and Sugarcane.",crop_season
"What is rabi crop?","Rabi crops are sown in winter (October-November) after monsoon and harvested in spring (March-April). Major Rabi crops: Wheat, Barley, Peas, Mustard, Gram (Chickpea), and Linseed.",crop_season
"What is zaid crop?","Zaid crops are grown during the short duration between Rabi and Kharif seasons (March-June). They are mostly summer crops: Watermelon, Muskmelon, Cucumber, Bitter gourd, and Moong.",crop_season
"What is the sowing season for wheat?","Wheat is a Rabi crop, sown from November to December in India. The ideal temperature for sowing is 10-15°C and it requires cool weather during growth.",crop_season
"When is rice sowing season?","Rice (paddy) is a Kharif crop, primarily sown from June to July during the monsoon. It requires a warm and humid climate with a temperature of 20-35°C and plenty of rainfall.",crop_season

"What is the PM-KISAN scheme?","PM-KISAN (Pradhan Mantri Kisan Samman Nidhi) provides direct income support of ₹6,000 per year in 3 equal installments to all land-holding farmers. It is credited directly to the farmers' bank accounts via DBT.",govt_scheme
"What is Pradhan Mantri Fasal Bima Yojana?","PMFBY is a crop insurance scheme providing financial support to farmers suffering crop loss or damage due to unforeseen events like pests, diseases, or natural calamities. Premium rates are very low — 2% for Kharif, 1.5% for Rabi, and 5% for commercial crops.",govt_scheme
"What is PM Krishi Sinchai Yojana?","PMKSY (Pradhan Mantri Krishi Sinchayee Yojana) aims to improve water use efficiency on farms with the motto 'Har Khet Ko Pani, More Crop Per Drop'. It focuses on watershed development, efficient water distribution, and micro-irrigation.",govt_scheme
"What is Soil Health Card Scheme?","The Soil Health Card Scheme provides farmers with a card containing information about their soil's nutrient status and recommendations to improve soil health and crop productivity. Cards are issued every 2 years.",govt_scheme
"What is the Kisan Credit Card scheme?","The Kisan Credit Card (KCC) provides short-term formal credit to farmers for their agricultural needs — purchase of seeds, fertilizers, pesticides, and post-harvest expenses at a subsidized interest rate of 4-7% per annum.",govt_scheme
"What is RKVY scheme?","RKVY (Rashtriya Krishi Vikas Yojana) provides states with flexibility in planning and executing programs for agriculture development. It funds district and state agriculture plans for infrastructure, technology adoption, and new farming practices.",govt_scheme
"What is eNAM platform?","eNAM (National Agriculture Market) is a pan-India electronic trading portal that networks existing Agricultural Produce Marketing Committee (APMC) mandis to create a unified national market for agricultural commodities.",govt_scheme
"What is Paramparagat Krishi Vikas Yojana?","PKVY promotes organic farming by financially assisting farmers to adopt sustainable, eco-friendly cultivation avoiding chemical inputs. Farmers get ₹50,000 per hectare over 3 years for organic farming conversion.",govt_scheme
"Tell me about Agri Infrastructure Fund","The Agriculture Infrastructure Fund (AIF) provides medium to long-term debt financing for post-harvest management infrastructure and community farming assets at concessional interest rates. Total corpus is ₹1 lakh crore.",govt_scheme
"What is Micro Irrigation Fund?","The Micro Irrigation Fund (MIF) of ₹5,000 crore was created with NABARD to facilitate expansion of micro-irrigation (drip and sprinkler) across India, reducing water wastage significantly.",govt_scheme

